arabic,english
إنها امراة جميلة.,She's a beautiful woman.
أخي مدرس.,My brother is a teacher.
أنا لدي صديق.,I have a friend.
أنتهى الأجتماع,The meeting ended.
النهر وأسع,The river is wide.
كانت الغرفة دافئة.,The room was warm.
هذا الكرسي مكسور.,This chair is broken.
أنا طويل.,I am tall.
أنا طويل.,I'm tall.
عمي غني.,My uncle is rich.
تستطيع السناجيب الركض حقاً بسرعة.,Squirrels can run really quickly.
هل عندك كمبيوترين؟,Do you have two computers?
لدي أصدقاء.,I have friends.
‫هي لديها بيت صغير.,She has a small house.
انا مهندس.,I'm an engineer.
والدي اعتاد أن يكون رجلاً قوياً.,My father used to be a strong man.
أبي اعتاد أن يكون رجلاً قوياً.,My father used to be a strong man.
توم جاهل.,Tom is an ignoramus.
أنتَ لن تبتعد هذه المرة.,You won't get away this time!
أنتِ لن تبتعدي هذة المرة.,You won't get away this time!
هذه ستكون مهمة خطيرة جداً.,This will be a very dangerous mission.
القليل من المعرفة يمكن أن يكون شيء خطير.,A little knowledge can be a dangerous thing.
خطير جداً بالنسبة لكَ أن تكون هنا.,It's too dangerous for you to stay here.
خطير جداً لكِ أن تكوني هنا.,It's too dangerous for you to stay here.
توم عنده السيارة جديدة.,Tom has a new car.
هل توجد أجرة مخفضة للرحلات المتعددة؟,Are there any discount fares for multiple trips?
ذهبت إلى العديد من المتاجر للبحث عن الكتاب.,I went to many shops to look for the book.
أظن أن توم على حق.,I think Tom is right.
أعتقد أنه ينبغي عليك أن تقرأه بنفسك.,I think you should read it yourself.
من أين صديقك؟,Where is your friend from?
هو لا يتحدث اللغة اليابانية بالمنزل.,He doesn't speak Japanese at home.
أنا راضية تماما ببيتي الجديد.,I am very pleased with my new house.
هل تعلم لماذا انا هنا؟,Do you know why I'm here?
لدي الكثير من الاعمال يتوجب علي القيام بها قبل الغد.,I have a lot of things I have to do before tomorrow.
توم يهدر الوقت.,Tom's wasting time.
لم تبدو مندهشا.,You didn't look surprised.
هل نحن بأمان هنا؟,Are we safe here?
أذلك كتابك الجديد؟,Is that your new book?
أستاذنا يذكرنا بعدم نسيان الواجبات,Our teacher reminded us not to forget our homework.
لا نستطيع الرجوع لهناك.,We can't go back there.
لقد طلبت اثنين شاي وثلاثة قهوة.,I've ordered two teas and three coffees.
جميع الرجال الذين اعرفهم يحبون السيارات,All of the men that I know like cars!
لم ترجع لي نقودي.,She didn't give me back my money.
هذه أختي.,This is my sister.
هذا ليس من شأننا.,That's not our business.
يدرس أبنه الأكبر في الكلية.,His elder son is studying at college.
أنت ماتت.,You died.
أنت دخلت.,You entered.
أنت تكرهني.,You hate me.
أنا أكل فواكة وأشرب ماء.,I eat fruit and drink water.
تركض ساويرس.,Saoirse's running.
أنا أذهب إلى بيت الفتاة.,I'm going to the girl's house.
ماذا نستطيع أن نشرب؟,What can we drink?
أريد ماء بارد.,I want cold water.
الترجمة دقيقة.,The translation is accurate.
عندها بيت.,She has a house.
هل أنت متحمس لمسابقة الأغنية يوروفيجن؟,Are you excited about the Eurovision Song Contest?
بول طفلي في حفاظه.,My baby peed in its nappy.
فقدت حافزي.,I lost my motivation.
كيف الحياة في المملكة المتحدة؟,How is life in the United Kingdom?
أين كورنوال؟,Where is Cornwall?
أريد أن أشتري فواكه.,I want to buy fruits.
أريد أن أشتري برتقال.,I want to buy oranges.
أريد أن أشتري موز.,I want to buy bananas.
أريد أن أشتري أناناس.,I want to buy pineapples.
تجعل بريد كعكة الآن.,Bríd is making a cake now.
أنا لا أريد أن أذهب إلى المصرف.,I don't want to go to the bank.
كيف أبدو؟,How do I look?
ماذا يعني هذا؟,What does it mean?
من هؤلاء النَّاس؟,Who are these people?
أنتم محظوظون.,You're lucky.
ما لي أخ.,I don't have a brother.
هذا مشد للصدر.,This is a bra.
أري بيته.,I see his house.
ميريديث عندها قطتين.,Meredith has two cats.
أريد أن أذهب.,I want to go.
أنا أريد أن أدرس الألمانية.,I want to study German.
الأبواب مفتوحة.,The doors are open.
اهلا وسهلا,Welcome.
يجب ان نكون مستعدين لأي شيء,We have to be ready for anything.
سوف اكون سعيد لمساعدتك,I will gladly help you.
هي ستكون بخير,She's gonna be okay.
ماذا سنفعل ؟,What are we gonna do?
في أي دور تسكن؟,What floor do you live on?
في أي دور تسكن؟,Which floor do you live on?
لي ثلاث أخوات.,I have three sisters.
اعتقدت انك لن تأتي الى هنا,I thought you would never come here.
لم اتوقع ان تكون هنا .,I didn't expect you to be here.
يجب أن تذهب,You've got to go.
يريد توم الذهاب إلى أستراليا.,Tom wants to go to Australia.
أنا أحب اللغة اليابانية كثيراً.,I like Japanese very much.
انها ليست كافيه,It's not enough.
محمد صلى الله عليه وسلم ولد في مكة,"Muhammad, peace be upon him, was born in Mecca."
أستيقظ مبكراً.,I wake up early.
ذلك لأن الفقاعة تلاشت في الهواء.,All hope of winning the game vanished.
ذلك لأن الفقاعة تلاشت في الهواء.,Many kinds of animals have vanished from the earth.
ذلك لأن الفقاعة تلاشت في الهواء.,That's because the bubble vanished into thin air.
أنواع كثيرة من الحيوانات اختفت من الأرض,Many kinds of animals have vanished from the earth.
الصبي قال ان سيارة الاجرة اختفت في الضباب.,The boy said that the taxi vanished into the fog.
ابن عمي تورط في الاعمال المشبوهة والخزي للاسرة,My uncle's brother's son got involved in a shady business and disgraced the family.
ليس فقط انت بل أيضا انا كنت المعنية.,Not only you but also I was involved.
يجب عليك الالتزام بالعواقب.,You should abide by the consequences.
هم لم يلتزموا باللوائح المدرسية,They did not abide by the school regulations.
يذهب الرجال وياتون لكن الارض تبقى ثابتة,"Men go and come, but earth abides."
بطريقة أو بأخرى سنجد توم.,"One way or another, we'll find Tom."
لمَ أبقيت هذا سرًّا؟,Why did you keep that a secret?
أُشكُر توم، الفكرة كانت فكرته.,Thank Tom. It was his idea.
نحن في حرب.,We're at war.
أبدًا لا يفكّر توم بالآخرين.,Tom never thinks about others.
لا يفكّر توم بالآخرين.,Tom doesn't think about others.
إلى أين ذهبت؟,Where did you go?
أين ذهبت؟,Where did you go?
لا أظنّ أنّ بوسعي فعل ذلك، لكنّي سأحاول.,"I don't think I can, but I'll try."
لا أظنّ أنّ بمقدوري فعل ذلك، لكنّي سأحاول.,"I don't think I can, but I'll try."
لمَ أبقيته سرًّا؟,Why did you keep it a secret?
أرادَ منّي الكذب.,He wanted me to lie.
أرادت منّي الكذب.,She wanted me to lie.
كان عليّ فعل هذا منذ زمن.,I should have done this years ago.
سيقتلني توم إن عرف أنّي قلتُ لكَ هذا.,"If Tom finds out I told you this, he'll kill me."
سيقتلني توم إن عرف أنّي قلتُ لكِ هذا.,"If Tom finds out I told you this, he'll kill me."
سيغضب توم كثيرًا إن عرف أنّي قلتُ لكِ هذا.,"If Tom finds out I told you this, he'll be very angry."
سيغضب توم كثيرًا إن عرف أنّي قلتُ لكَ هذا.,"If Tom finds out I told you this, he'll be very angry."
كُن جادًّا أرجوك.,Please be serious.
كوني جادًّة أرجوكِ.,Please be serious.
لن تصدّق ما قاله لي توم!,You won't believe what Tom told me!
لن تصدّقي ما قاله لي توم!,You won't believe what Tom told me!
لن تصدّق ما قالته لي!,You won't believe what she told me!
لن تصدّقي ما قالته لي!,You won't believe what she told me!
الثمن مرتفع.,The price is high.
لِماري أكثر من مئة زوجٍ من الأحذية.,Mary has more than a hundred pairs of shoes.
أيمكنني القول بأنّك فتاة جميلة؟,Can I tell you that you're a beautiful girl?
هذا بيت أبي.,This is my father's house.
أفكّر في تغيير وظيفتي.,I am thinking of changing my job.
أخبرني عمّن كنتَ تتكلّم عنه.,Tell me who you were talking about.
أخبريني عمّن كنتِ تتكلّمين عنه.,Tell me who you were talking about.
أنت تتكلّم بسرعة.,You're talking fast.
أنت تسرع في الكلام.,You're talking fast.
لا أعرف شيئًا البتّة.,I know nothing.
أعطِها فرصة أخرى.,Give her another chance.
أعطيها فرصة أخرى.,Give her another chance.
يراودني إحساسٌ بأنّي قابلتها في مكانٍ ما سابقًا.,I have a feeling I've met her somewhere before.
يراودني إحساسٌ بأنّي قابلتُ ذاك الفتى سابقًا.,I have the feeling that I've met that guy before.
كان عليّ فعل هذا منذ أشهر خلت.,I should've done this months ago.
القوّة هي اللغة الوحيدة التي يفهموها.,Force is the only language they understand.
لن أتوقّف عن البحث حتّى أجد توم.,I'm not going to stop looking until I find Tom.
حمدًا لله أنّك بخير.,Thank God you're fine.
كلّ ما فعلتُ كان لِتوم.,"Everything I did, I did for Tom."
مِن السهل معرفة سبب حبّ الناس لِتوم.,It's easy to see why people like Tom.
أراد توم معرفة ما إن كان لِماري حبيب.,Tom wanted to know if Mary had a boyfriend.
أرادت ماري معرفة ما إن كان لِتوم حبيبة.,Mary wanted to know if Tom had a girlfriend.
أعرفُ كَم يعني لكِ.,I know how much he means to you.
أعرفُ كَم تعني لكَ.,I know how much she means to you.
لا أعرف كيف، لكنّي فعلتها.,"I don't know how, but I did it."
دائمًا ما تفكّر ماري بالآخرين.,Mary always thinks about others.
هناك أمور عليّ فعلها في المنزل.,I have some stuff to do at home.
لن يعجبك ما سأقول.,You're not going to like what I'm going to say.
هذه المشكلة مزعجة حقًّا.,This problem is really annoying.
لن أدير ظهري لِتوم.,I'm not going to turn my back on Tom.
كَم لبثت؟,How long did you stay?
كَم أقمت؟,How long did you stay?
كَم أتمنّى الذهاب إلى اليابان.,I wish I could go to Japan.
أتمنّى الذهاب إلى اليابان.,I wish I could go to Japan.
أنتَ فقط تهرب من مشاكل الحياة.,You're just running away from life's problems.
أنتِ فقط تهربين من مشاكل الحياة.,You're just running away from life's problems.
يبدو لي مثيرًا للاهتمام.,It seems interesting to me.
ثمّة العديد من الكلمات التي لا أفهمها.,There are many words that I don't understand.
ما الخيارات الأخرى التي أمامي؟,What other options do I have?
لم أعد أحبّك بعد الآن.,I don't like you anymore.
ليس شيئًا يمكن لأيّ شخص فعله.,It's not something anyone can do.
ليس أمرًا هيّنًا على أيّ شخص.,It's not something anyone can do.
لا يمكنني شرحهُ أكثر.,I can't explain it either.
لا ريب بأنّ هذه هي أفضل طريقة.,This is definitely the best method.
لا خيار أمامي سوى فعل كلّ ما طلبوا منّي فعله.,I have no choice but to do everything they've told me to do.
كل شيء سيكون على ما يرام حالما يصل توم.,Everything's going to be great as soon as Tom gets here.
لن أغادر حتّى تخبرني بما أريد معرفته.,I'm not leaving until you tell me what I want to know.
يهمّني أن نتبع القوانين.,It's important to me that we follow the rules.
سنعرف كيف نصلح هذا بطريقة أو بأخرى.,"One way or another, we'll figure out how to fix this."
ربّما تخبرني عن مكانٍ أجد فيه توم.,Maybe you can tell me where I can find Tom.
ربّما تخبرينني عن مكانٍ أجد فيه توم.,Maybe you can tell me where I can find Tom.
اتّصل بي حالما تجد توم.,Call me as soon as you find Tom.
اتّصلي بي حالما تجدين توم.,Call me as soon as you find Tom.
أُقسم بأنّ لا شيء حصل.,"I swear, nothing happened."
سأفعل أيّ شيء لِتوم.,I would do anything for Tom.
متأكّد بأنّ توم سيقدّر كلّ ما فعلته له.,I'm sure Tom appreciates everything you've done for him.
هذا بسببك أنت.,This is because of you.
غسل توم وجهه وكلتا يديه.,Tom washed his face and hands.
ابتاعت ماري فستانًا جديدًا للحفلة.,Mary bought a new dress for the party.
أنا نضج كفايةً لأتّخذ قراراتي الخاصّة.,I'm old enough to make my own decisions.
كرة القدم هي رياضة العالم الأكثر شعبيّة.,Soccer is the world's most popular sport.
لن أذهب ما لم تخبرني أين أجد توم.,I'm not leaving until you tell me where I can find Tom.
لن يروق لك ما سأقول.,You're not going to like what I'm going to say.
هذه الساعة غالية.,This watch is expensive.
لا، أنا لست بمتزوج.,"No, I am not married."
ليس لتوم هرّ ولا كلب.,Tom doesn't have either a cat or a dog.
أنا جادٌّ يا توم.,"Tom, I'm serious."
أنا جادٌّ يا ماري.,"Mary, I'm serious."
ما لا يُصلَح، تركُهُ أصْلَح.,What can't be cured must be endured.
لكلّ عالِم هفوة.,Even Homer sometimes nods.
لكلّ جواد كبوة.,Even Homer sometimes nods.
لكلّ صارم نبوة.,Even Homer sometimes nods.
اللصّ لا يسرق لصًّا.,A dog does not eat a dog.
يعرفني.,He knows me.
توم سعيدٌ على الرّغم من فقره.,"Tom is poor, but he's happy."
لديك فقط 24 ساعة أخرى لتقرّر.,You only have 24 hours left to decide.
عن ماذا تتحدث؟,"Hey, what are you talking about?"
الى ماذا تنظر ؟,"Hey, what are you looking at?"
اعتقدت انك لا تريد ان تأتي الى هنا .,I thought you would never come here.
هذه أغنيتي المفضّلة!,That is my favorite song!
كلمة السر طويلة.,The password is long.
كَم الساعة؟,What is the time?
توقّف المطر.,The rain has stopped.
عمّ تتكلّمون يا رفاق؟,"Hey, what are you guys talking about?"
انتظر لحظة، إلى أين تظنّ نفسكَ ذاهبًا؟,"Hey, wait a minute. Where do you think you're going?"
انتظري لحظة، إلى أين تظنّين نفسكِ ذاهبةً؟,"Hey, wait a minute. Where do you think you're going?"
التقطت أول صورة للأرض من الفضاء عام 1946.,The first photo of Earth from space was taken in 1946.
ليست طفلة.,She's not a child.
أقتلتَ ماري؟,Did you kill Mary?
أقتلتِ ماري؟,Did you kill Mary?
ليسَ طفلًا.,He is not a child.
ما زالوا صغارًا.,They are still children.
أظنّها تخفي شيئًا.,I think that she's hiding something.
أظنّهُ يخفي شيئًا.,I think that he's hiding something.
سألَتْهُ وردّ بِنعم.,She asked him and he said yes.
سألها وردّت بِنعم.,He asked her and she said yes.
لا أريد البكاء أمامها.,I didn't want to cry in front of her.
لا أريد البكاء أمام توم.,I didn't want to cry in front of Tom.
لا أريد البكاء أمامهُ.,I didn't want to cry in front of him.
أرسل توم بريدًا إلكترونيًّا لرئيسه بدل حبيبته.,Tom sent an email to his boss instead of his girlfriend.
العربيّة ليست معقّدة.,Arabic isn't complicated.
هوَ يعرف كل الإجابات.,He knows all the answers.
لن أذهب ما لم تخبريني أين أجد توم.,I'm not leaving until you tell me where I can find Tom.
أتعرف أحدًا في أستراليا؟,Do you know anyone in Australia?
سأذهب إن ذهب توم.,I'll go if Tom goes.
لن أذهب ما لَم يذهب توم.,I'm not going unless Tom goes.
حاولت قتل نفسي مرّتين.,I tried to kill myself twice.
فيمَ تفكّر الآن؟,What are you thinking about now?
أيمكنني سؤالك عن السبب؟,May I ask why?
أمامك ثلاث خيارات لا غير للاختيار بينها.,You have only three options to select.
توم طويلٌ وقويّ.,Tom is tall and strong.
ماري طويلة وقويّة.,Mary is tall and strong.
توجد جثّة في صندوق السيّارة.,There's a body in the trunk of the car.
أتذكرُ ما فعلتَ الجمعة الماضية؟,Do you remember what you did last Friday?
أتذكري ما فعلتِ الجمعة الماضية؟,Do you remember what you did last Friday?
أنتَ، انزل عن درّاجتي.,"Hey, get off my bike."
أنتِ، انزلي عن درّاجتي.,"Hey, get off my bike."
ألا تظنّ أنّ عليك أخذ قسطٍ من الراحة؟,Don't you think you should get some rest?
برأيك، لكَم من الوقت يستطيع توم حبس نفَسه؟,How long do you think Tom can hold his breath?
لمَ لمْ تخبرني بأنّ اجتماعًا انعقد اليوم؟,Why didn't you tell me there was a meeting today?
لمَ لمْ تخبرني بأنّ اجتماعًا عُقِدَ اليوم؟,Why didn't you tell me there was a meeting today?
إن كان لديك ما تقول، فقُله.,"If you've got something to say, just say it."
ما زالت الكعكة في الفرن.,The cake is still in the oven.
إنه شيخ غريب الأطوار,My mission is of critical importance.
هل أنتم بخير؟,You'd better leave it.
أيمكنني الحصول على قطعة من تلك الكعكة؟,Could I get a little piece of that cake?
ألديك مفتاح هذا الباب؟,Do you have the key to this door?
أعلمني إن سمعتَ شيئًا.,Let me know if you hear anything.
أعلميني إن سمعتِ شيئًا.,Let me know if you hear anything.
ثمّة ما نسيت قوله.,There's something I forgot to say.
أحمل معي قنينة مياه معدنيّة دومًا.,I always carry a bottle of mineral water with me.
يريد توم منّي مساعدته في حلّ واجبه المنزليّ.,Tom wants me to help him with his homework.
أردت فقط سماع صوتك.,I just wanted to hear your voice.
أتحدّثت مع توم؟,Have you spoken to Tom?
أللقصّة نهاية سعيدة؟,Does the story have a happy ending?
كان خطأ حاسوبيّ.,It was a computer error.
هي تحتاجه أكثر ممّا يحتاجها.,She needs him more than he needs her.
لم يكن عليّ أكل هذا.,I shouldn't have eaten that.
بغضّ النظر عن كونه متعبًا أو لا، سيكتب في مذكّراته قبل أن يخلد إلى النوم.,"No matter how tired he is, he writes in his diary before going to bed."
نريد معرفة السبب.,We want to know why.
متى يحين دوري؟,When do I get my turn?
لم يتوقّع توم أيّة مساعدة من ماري.,Tom didn't expect any help from Mary.
حاول توم إخباري شيئًا، لكنّ ماري قاطعته قبل أن ينطق ببنت شفة.,"Tom tried to tell me something, but Mary interrupted before he could say anything."
لن أردّ على الأسئلة.,I won't answer questions.
سعيدون لرؤيتك.,We're happy to see you.
لا يبدو هذا عاديّا.,This doesn't seem normal.
كان عليّ أن أحاول.,I had to give it a try.
أُحِبّ هذه الأغنية.,I love this song.
إن توم لا يملك أسرة.,Tom doesn't have a family.
توم ليبرالي.,Tom is a liberal.
هل تعرف الولد في الصورة؟,Do you know the boy in the picture?
هناك مخطط لتوسيع الشركة.,There is a scheme to expand the company.
ساهم بالكثير من المال.,He kicked in a lot of money.
هل سأصل إلى المحطة إن أخذت هذا الطريق؟,Will I get to the station if I take this road?
أنا مسرور لوجودك هنا معي.,I'm glad you're here with me.
"اختبأ توم وراء أمّه عندما قلت له ""أهلا"".","Tom hid behind his mom when I said ""hi"" to him."
اني اتطلع لذلك.,I look forward to it.
كل آت قريب,The whole future is just around the corner.
إنه يأمل أن يجد الشهرة كشاعر,He hopes to find fame as a poet.
إني أعتمد على وعدك.,I rely on your promise.
غداً سنواجه العدو.,"Tomorrow, we will face the enemies."
غداً سنواجه الأعداء.,"Tomorrow, we will face the enemies."
إنه نوع مهدد بالانقراض.,It is an endangered species.
أفكّرت في الأمر؟,Did you think about it?
لي بنتان.,I have two daughters.
كم كلّفتك التذاكر؟,How much did the tickets cost you?
ما المبلغ الذي كان عليك دفعه للتذاكر؟,How much did you have to pay for the tickets?
كم كلّفت التذاكر؟,How much did the tickets cost?
اليابان هي جزء آسيا الشرقي.,Japan is in the eastern part of Asia.
سأفعل أيّ شيء لحمايتك.,I'd do anything to protect you.
أتظنّ أنّ توم رأى ماري؟,Do you think Tom saw Mary?
تابع على طول هذا الطريق وسيكون مكتب البريد على يسارك.,Go along this street and you'll come to the post office on the left.
ألا يمكن صياغتها بطَريقة أخرى؟,Can it be phrased in another way?
تهانينا!,Congratulations!
تعلّمتُ العيش دونها.,I learned to live without her.
افعل كلّ ما يقولهُ لك.,Do whatever he tells you.
إفتح فمك!,Open your mouth!
سيغلق أحدهم النافذة.,Someone will close the window.
الأطفال في جانب البيت الأيسر.,The children are on the left side of the house.
نحن في طريقنا إلى المنزل.,We are on the way home.
سأبقى هنا لشهر كامل.,I'll stay here a whole month.
أحدهم على الهاتف يريدك.,You're wanted on the phone.
لن نذهب إن أمطرت.,We wouldn't go if it rained.
وصلت متأخّرًا لتفويتي الحافلة.,I came late because I missed the bus.
تعارك توم مع أخ ماري وكسر أنفه.,Tom got into a fight with Mary's brother and broke his nose.
تعارك توم مع أخي ماري فانكسر أنفه.,Tom got into a fight with Mary's brother and got his nose broken.
يبدو وكأنّها ستمطر.,It seems that it will rain.
لا تغضب كثيرًا.,Don't get so angry.
قابلتُ شخصًا على الإنترنت.,I met somebody online.
يمكنك المجيء والعيش معي.,You could come and live with me.
أصدقائي عائلتي.,My friends are my family.
عملت ماري مربّية للأطفال عندما كانت مراهقة.,Mary worked as a babysitter when she was a teenager.
ما الذي تحاول فعله؟ أتريدني أن أُجنّ؟,What are you trying to do? Drive me insane?
أنا بخير يا أمّي.,"I'm fine, mom."
ما خطبكِ اليوم ماري؟,"Mary, what's wrong with you today?"
لم ألقَ منها رفضًا قطّ.,I have never heard him say no.
لم ألقَ منهُ رفضًا قطّ.,I have never heard him say no.
لستُ أمزح!,I'm not kidding.
سيكون الغد أفضل!,Tomorrow will be better!
عليّ إرجاع الكتب إلى المكتبة الإثنين.,On Monday I have to take back the books to the library.
لقد دعوتك إلی هنا لأسألك سؤالا,I called you in here to ask you a question.
ستتزوج ابنتي في يونيو,My daughter is getting married in June.
هذه السلة مليئة بالفواكه,Here's a basket full of fruit.
لا أملك الوقت الكافي لقراءة هذا الكتاب,I don't have the time to read that book.
أنا معك هنا الآن,Now I'm here with you.
ألا تثق بتوم؟,Do you trust Tom?
من سيعتني بالطفل ؟,Who will take care of the baby?
ما كان يجب علي أن أخبرك بكل شيء,I shouldn't have told you anything.
"يحب ""توم"" ""ماري"" و هي أيضا تحبه",Tom likes Mary and Mary likes Tom.
لم يكن من السهل حل هذه المشكلة,It wasn't easy to solve this problem.
"سأل ""توم"" ""ماري"" ما إذا كانت تود الرقص",Tom asked Mary if she wanted to dance.
ألا تستطيع الشعور به ؟,Can't you feel it?
لسنا خائفين,We're not afraid.
"قرر ""توم"" أن يبدأ بتعلم اللغة الفرنسية",Tom has decided to start studying French.
"يبدو ""توم"" مذهلا",Tom looks amazing.
إنهم يدعوننا بالروسيين,They call us Russians.
"لم أكن أتوقع بأن ""توم""سيقع في حب ""ماري""",I didn't expect that Tom would fall in love with Mary.
أوافقك الرأي بالتأكيد.,I agree with you absolutely.
اشتقت إليك حقا,I really miss you.
"هذا ما أحببته بشأن ""توم""",That's what I loved about Tom.
ألا تستطيع مساعدتي بأي شيء؟,Can't you do anything to help me?
الحب و الكره شعوران متعاكسان,Love and hate are opposite emotions.
هل أنت سعيد برؤيتي ؟,Are you glad to meet me?
لا أتذكر بأنني طلبت منك أن تبدي رأيك,I don't remember asking for your opinion.
"لم يكن ""توم"" يعي المشكلة",Tom wasn't aware of the problem.
"يجهل ""توم"" الفرق بين الحقيقة و الخيال",Tom doesn't know the difference between reality and imagination.
سأجعلها سعيدة - سأشعرها بالسعادة,I will make her happy.
أود رؤيتك مجددا.,I'd like to see you again.
"ماذا عن ""توم""؟",What about Tom?
إنك وسيم,You are handsome.
أنا في طريقي إلی المنزل,I'm on my way home.
هذا الرجل كريم,This man is very generous.
إنني أفهم ما تقول,I understand what she's saying.
ما خطبك الليلة يا توم ؟,"Tom, what's wrong with you tonight?"
هلا توقفت عن ذلك يا توم ؟,"Tom, will you stop it."
أحتاج التحدث معك عن أمر طارئ,I need to talk to you about an urgent matter.
أصدقائي هم عائلتي,My friends are my family.
إنك عدائي,You are aggressive.
هل تحبه ؟ / هل تحبينه ؟,Do you love him?
و أنت أيضا,You too.
كيف بإمكاني مساعدتك ؟,How can I help?
أنا لست أحمقا، أليس كذلك؟,"I'm not stupid, am I?"
أعلم بأنك خائف.,I know you're afraid.
ابتعتُ لهُ ساعة.,I bought him a clock.
ابتعتُ لها ساعة.,I bought her a clock.
ما كان يجب علي أن أثق بتوم,I shouldn't have trusted Tom.
هناك جزر في البحر.,There are islands in the sea.
تلك السيارة ليست ملكي,That's not my car.
هذه السيارة ليست ملكي,This is not my car.
إنني سعيد بلقائك.,I'm very glad to meet you.
لست قلقا بشأنه,I'm not worried about it.
لا تضع وقتك سدی,Don't waste your time.
لن أجرح مشاعرك أبدا,I will never hurt you.
أنا مسلم,I am a Muslim.
أريد إجابة منك في أسرع وقت ممكن,I want an answer from you as soon as possible.
هل تستطيع التحدث باللغة الانجليزية؟,Can you speak English?
أريد المزيد,I want more.
من الافضل أن تبقی صامتا إذا لم تكن تعلم شيئا عن هذا الأمر,"If you don't know anything about the matter, it's better that you keep quiet."
لم أعره انتباها,I didn't pay attention to him.
اسمح لي أن أريك الطريق إلی المصعد,Let me show you the way to the elevator.
أين التقيت بتوم ؟,Where did you meet Tom?
كنا علی عجلة من أمرنا,We were in a hurry.
كف عن إزعاج والدك,Stop bothering your father.
لا أريد النوم,I don't want to sleep.
اخرج من غرفتي,Get out of my room!
أيهما تفضل الأحمر أم الازرق ؟,"Which one do you prefer, the red one or the blue one?"
ما زلت أحبها,I still love her.
التقيت بها في طريقي إلی المنزل,I met her on my way home.
يجب أن تدرك بأننا لن نستطيع تقديم يد العون.,You must realize that I can't help you.
لم يكن لدي خيار سوی الاستلقاء علی السرير طوال اليوم.,I had no choice but to stay in bed all day.
هل تسمع ما أقول ؟,Do you hear what I'm saying?
ربما توم يحبك.,Maybe Tom likes you.
اليوم هو يوم ميلادك,Today is your birthday.
يبدو رجلا أمينا .,He looks like an honest man.
يبدو أنه رجل أمين .,He looks like an honest man.
إن لم تكن معي فأنت ضدي .,You're either with me or against me.
أصبح أخي راهبا,My brother has become a priest.
إن توم مستمع جيد,Tom is a good listener.
أخبره بأن ينتظر,Tell him to wait.
أنا خلفه مباشرة .,I'm right behind him.
أريد أن أريك مدينتي الجميلة .,I want to show you my beautiful city.
لقد فعلت ذلك مرات عديدة.,I've done that many times.
هل حقا أنت أميرة ؟,Are you really a princess?
أنا أثق بك.,I trust you.
"أريد قائمة بجميع أقارب ""توم"".",I want a list of all Tom's relatives.
هل القطة فوق الكرسي أم أسفله ؟,Is the cat on the chair or under the chair?
يستطيع كل طفل فعل ذلك.,Any child can do that.
هذه ليست المرة الأولی التي أری فيها هذه الجملة .,It's not the first time I've seen this sentence.
ما هو تاريخ ميلادك؟,What is your date of birth?
أخبرني ما الخطب.,Tell me what the matter is.
هل تعلم من أنا ؟,Do you know who I am?
أتی عمي لرؤيتي.,My uncle came to see me.
قدم عمي لرؤيتي.,My uncle came to see me.
هل تعلم من هو مخترع المجهر؟,Do you know who invented the microscope?
ما كنت لأتصل بك لولا أن الأمر مهم .,I wouldn't be calling if it weren't important.
كم عمر أختك ؟,How old is your sister?
إنه لشرف لي أن ألتقي بك .,I am honored to meet you.
توم رجل لطيف .,Tom is a nice man.
توم رجل لطيف .,Tom is a kind man.
استدارت بابتسامة.,She turned around and smiled.
استدارت و ابتسمت.,She turned around and smiled.
يجب أن تفخر جدا بابنتك.,You must be very proud of your daughter.
كف عن الصراخ!,Stop yelling!
أحب صوت الغيث أثناء هطوله علی السقف.,I love the sound of rain on the roof.
لا تنظر إلي!,Don't look at me.
لست خجولا.,I am not shy.
WHO هو اختصار لمنظمة الصحة العالمية .,WHO is the abbreviation for World Health Organization.
سأتذكرك دائما .,I will always remember you.
أنا آسف يا أمي .,I'm sorry Mother.
ألقوا أسلحتكم!,Drop your weapons!
تحققت الأحلام.,Dreams came true.
لا يجب عليك أن تستمع إلی ما يقول.,You don't have to listen to what he says.
ليس عليك أن تستمع إلی ما يقول.,You don't have to listen to what he says.
المعذرة، من هذه المرأة؟,"Excuse me, who is this woman?"
أبق الدواء بعيدا عن متناول الأطفال.,Keep children away from medicine.
أبق الأطفال بعيدا عن الأدوية.,Keep children away from medicine.
هذا علم اليابان.,This is the flag of Japan.
قالت وداعا.,She said goodbye.
أين المال؟,Where's the money?
أريد أن أصبح معلما.,I want to be a teacher.
ليس بتلك الصعوبة.,It's not that hard.
اللغة العربية ليست صعبة.,Arabic isn't a difficult language.
اعتقد بأنه يمكننا مساعدة بعضنا البعض.,I think we can help each other.
سأفتقدك.,I'll miss you.
سأشتاق إليك.,I'll miss you.
هل قالت شيئا؟,Did she say something?
كان مغرما بها.,He had a crush on her.
لكنه نام كالطفل.,But he slept like a baby.
وقعت في حب امرأة.,I fell in love with a woman.
إياك أن تخبرني، دعني أخمن.,Don't tell me. Let me guess.
طابت ليلتك يا تيمي.,"Goodnight, Timmy."
هل تعلم ما يعمله توم لكسب لقمة العيش؟,Do you know what Tom does for a living?
هل تعلم ما يعمله توم لكسب رزقه؟,Do you know what Tom does for a living?
إنك تخيفني في بعض الأحيان.,Sometimes you scare me.
إنك تشعرني بالخوف أحيانا.,Sometimes you scare me.
أحب معاملتك لي.,I like the way you treat me.
